Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Income share held by lowest 20% [SI.DST.FRST.20],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],Net migration [SM.POP.NETM],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Urban population growth (annual %) [SP.URB.GROW],Gini index [SI.POV.GINI],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS]
2020,YR2020,Tunisia,TUN,5.264,10.3917002295357,..,..,..,1423.24360072781,896.515593998175,37.9976586185515,2,623075275.921853,42491780918.361,-9.01193412390238,3270,11530,39134895057.1695,138016726344.346,12.751240354772,7.64832224466298,98,46.3339137973308,..,21.5120069019708,6.80569317573834,75.004,75.6828716164821,2.7097783729293,122.1279008,16,99.5337976296,-19188,975140014.648438,2280560592.66865,77.0729724510814,0.830022185577052,11974057,..,..,0.1,..,97.7275619506836,..,105.254287719727,..,..,163610,..,5.2,27.6151113683273,1.28239622160624,..,..
2020,YR2020,Turkmenistan,TKM,24.73,11.4920524061037,..,..,..,2618.73819409512,3395.82680039957,17.8189482611326,2.793,1436241800,45818000000,5.900000048526,6740,15010,46850405211.5669,104305215718.169,..,..,98,18.1176455915641,..,37.3826880265398,-4.34974180757671,68.846,21.2689336068794,..,98.62952004,42.6,54.5567649466,19913,34099998.4741211,0,14.7892494626859,2.12265535789649,6949912,..,..,..,..,..,..,109.434928894043,0.982129991054535,88.4751815795898,491209,..,3.2,..,3.0178063508284,..,0.129999995231628
2020,YR2020,Turks and Caicos Islands,TCA,17.872,..,100,34.3868182094481,..,..,..,..,1.552,30418890,774653669.315186,-26.782932872099,19010,16480,843842351.60174,731473889.868452,..,..,..,..,..,..,-10.1302434239062,77.499,42.4705920893455,..,..,6.1,98.7366129482,682,..,0,46.7221052631579,2.78709560637585,44386,..,..,..,0.4,..,..,122.59985984583,1.02660000324249,90.964590964591,950,..,0.4,..,3.04979164129277,..,..
2020,YR2020,Tuvalu,TUV,28.779,..,99.5,23.6671898206608,..,..,..,..,3.309,100000,51746594.3148543,-4.27493206901397,6880,6970,71588477.1285004,72473665.6279047,..,..,93,..,..,..,0.890825244312992,66.357,65.7048071475499,..,81.30815792,21.9,..,-355,43060001.373291,2200934.77289511,346.633333333333,-1.73502922439289,10399,..,..,..,..,101.339286804199,..,94.6327667236328,1.01226997375488,77.3861999511719,30,..,0,..,-0.479545351770448,..,..
2020,YR2020,Uganda,UGA,112.94,23.9290337205103,..,45.1776726212504,27.1688012849929,78.8849452164637,475.325187025973,15.4147985397289,4.621,1191480000,37600368241.6657,2.95130642218098,820,2480,36392655823.4407,110271411316.874,24.2159505553913,2.10287202929438,89,21.585893851908,..,26.4905245869762,2.72148444149991,66.41,32.9784004249706,2.73212093048135,62.35610757,43.5,104.3075750138,43464,3086120117.1875,1061900000,221.709315778975,3.33341751069644,44457152,..,..,5.4,7.6,..,12.8539945724217,..,..,..,241550,11.3911633065296,16.1,12.2475395277506,5.73847972363568,..,..
2020,YR2020,Ukraine,UKR,15.489,9.31015109807472,..,..,50.8052179521443,2921.70902184587,1932.92182292303,38.8216462901934,1.208,304000000,156617722013.342,-3.7528179386597,3530,15880,149174072094.463,670442390848.848,8.93229932738453,5.85239384495226,85,40.3348060859881,10,20.7999429657705,10.2949601365333,73.283,66.1029918384207,4.40031470276707,129.3411657,8.4,105.9686427958,-4167,2337570068.35938,15213000000,77.1142802899551,-0.619037730087783,44680014,0,1.6,..,..,89.7577972412109,32.3167384568451,91.1122131347656,..,84.4283294677734,603550,19.1514002992876,4.2,23.8730939460794,-0.424907310449944,25.6,0.403180003166199
2020,YR2020,United Arab Emirates,ARE,3.032,0.963890712780097,..,..,118.174002290536,13855.0657916711,8154.35294132635,100.23015894653,1.289,19884470000,349473015336.939,-4.95705243652739,41100,65000,386387183789.203,611081439463.705,23.3288630362103,5.37704492826553,99,85.0503934921793,..,42.1740430729015,-12.0313052945464,81.936,166.610288762531,..,197.8438703,6,98.2129365982,92541,..,..,132.371698113208,-0.474850154644905,9401038,..,..,0.1,..,81.5337524414062,6.3654969980708,93.7939682006836,1.01047003269196,83.4686508178711,98647.9,0.682088274465819,15.9,..,-0.176860052114908,..,1.48830997943878
2020,YR2020,Uruguay,URY,29.59,7.36949830204018,100,..,57.7114486155188,3479.58556832544,1531.60055590501,25.5550310314111,1.497,973445343.93392,53668636567.8667,-7.38014184479323,16140,24390,54875552291.3485,82900841621.6246,16.4328297457766,9.8025032036597,95,21.131116771206,5.7,17.0117830547184,10.9766432085298,78.381,26.8834852582012,2.03583835576405,132.7256301,7.1,107.6139708214,-1482,..,111117391.316543,19.4204548051651,0.0518527053450753,3398968,0.2,..,0.6,..,100.927543640137,30.7855040408177,105.236610412598,1.05238997936249,116.991828918457,176220,18.5148717533759,2.4,..,0.14506019643278,40.2,0.67467999458313
2020,YR2020,Uzbekistan,UZB,21.316,22.5277110093492,100,..,10.5157123552871,1758.03447898451,1351.37520056543,21.9154164873001,3.062,1728247827.582,66443265418.3086,1.56334277259953,2000,8470,67106860770.1684,284546668240.271,37.5933580339099,1.30490782664246,99,34.136114347697,..,32.0252433250071,10.6103382243685,71.461,49.7100794069323,..,99.58344787,15,107.5876489412,-9208,1462290039.0625,7083725806.44579,76.2200658118688,1.86830671569358,33586372,..,..,..,..,98.7280120849609,19.377990835065,98.615310525126,0.992630004882813,90.0642970154019,448924,13.4020276222392,5.8,19.1184363016863,1.83458905598137,..,0.13850000500679
2020,YR2020,Vanuatu,VUT,69.095,..,..,..,..,..,..,15.6982340439726,3.738,41158955.8450913,909421043.508407,-4.99249142889525,3390,3470,1013997839.52066,1037950479.69935,46.9069561322418,..,78,47.2681527509078,..,..,2.78534184329737,70.385,38.1561436781061,..,79.00027271,17.7,102.9756781239,-201,154039993.286133,127079100.133247,24.5166529942576,2.32661131084294,298858,..,..,..,..,96.65283203125,29.9241391798264,115.437370300293,1.02558994293213,54.3274688720703,12190,14.0402557920117,0.1,6.44062634128561,2.8413608506806,..,..
